Section,Area,Category,Status,Criteria,Indicator,Procedure
security,"Best Build Practices","Build Quality","1: Green","The software was built and developed according to the industry's best practices for security.","The product was built with effectively implemented safety features.","Run static analysis software to determine what application armoring features are present.Are there Stack Guards  and if so  are they effectively implemented?Are all safety features available in the pertinent OS enabled? (e.g.  ASLR  CFI  RELRO  DEP  etc.)Are those safety features well implemented and/or enabled with optimal settings? (E.g.  High Entropy ASLR  rather than just Dynamic Base on Windows 10)Are the binaries 32 or 64 bit?"
security,"Best Build Practices","Build Quality","1: Green","The software was built and developed according to the industry's best practices for security.","The software does not make use of unsafe functions or libraries.","Pull out data from the binary that speaks to developer hygiene.Do they use strcpy and other historically unsafe functions?Did the developers use older  less historically safe functions  or newer  safer replacements for those functions?What risks are introduced via the libraries that the binary links to  either directly or indirectly?"
security,"Best Build Practices","Build Quality","1: Green","The software was built and developed according to the industry's best practices for security.","The software is not overly complex.","Pull out data from the binary that speaks to code complexity.What is the branch density?How many stack adjusts  function calls  etc are there?How complex is the code?"
security,"Product Stablity","Build Quality","2: Yellow","The software is reliable.","The software is not susceptible to crashes.","Fuzz software to see if and how it crashes."
security,"Product Stablity","Build Quality","2: Yellow","The software is reliable.","If the program is forced to unexpectedly terminate, it shuts down in a safe and responsible fashion.","Under appropriate fuzz testing  what was the code coverage  number of crashes  and type(s) of crashes.Are crashes exploitable  or do they simply allow a disruption of service?"
security,"Product Stablity","Build Quality","2: Yellow","The software is reliable.","The software is not vulnerable to algorithmic complexity attacks.","Perform modified fuzzing to determine the software's vulnerability to algorithmic complexity attacks."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If a product supports user accounts, it has an authentication system for accessing those accounts","Start product and note whether users are prompted to authenticate to access account data&nbsp;"
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If a product is packaged with an account with default credentials, those credentials are unique to the instance of the product","If the product has default credentials  make note their uniqueness  and watch out for credentials like   default    admin   or  12345678 ."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If a product has an authentication system, the user must authenticate each time they want to use the product","Start &amp; stop the product multiple times  and make note of when user is prompted to authenticate."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If a product has an authentication system, it requires at least two pieces of information to authenticate users","Create an account and make note of information needed to do so *for authentication*. e.g. username + password"
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","For products that handle sufficiently sensitive data, users can choose to use multi-factor authentication.","Create an account and look for settings to enable MFA."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","For products that handle sufficiently sensitive data, users can choose to use multi-factor authentication whenever product is activated, or when a device is unrecognized.","Create an account  enable MFA  and try using product multiple times on one device to see if MFA is required each time.Create an account  enable MFA  and try using product multiple times on different devices to see if MFA is required each time."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, it requires that passwords are at least 8 characters long","Create an account and make note minimum password lengths. Try passwords such as  a  and  a1b2c3 ."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, the password/passphrase may be at least 20 characters long","Create an account and make note maximum password lengths. Try passphrases such as  i love sufficiently long passwords ."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, it requires that passwords are reasonably complex","Create an account and make note complexity limitations. Try passwords such as  aaaaaaaa  and  12345678 ."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, it allows all reasonable characters as input","Create an account and make note character restrictions. Try passwords such as  )a!aaaaa$a%  and  p 4 5 5 w 0 R d ! ."
security,"Authentication","Data Security","2: Yellow","A product has an authentication system that corresponds to the sensitivity of the user data it manages","If the product uses a password/passphrase for authentication, it is compatible with popular password managers.","With a password manager installed  create an account. See if password manager can be used as expected."
security,"Authentication","Data Security","2: Yellow","A product that has an authentication system resists attempts to break it","The product allows users to be notified via an out-of-band medium when account security settings are changed.","Create an account and make note of whether or not users are able to use email  SMS  or push notifications to be notified when changes occur or account credentials need to be reset."
security,"Authentication","Data Security","2: Yellow","A product that has an authentication system resists attempts to break it","To change a password/passphrase/pin, a user must enter the previous password/passphrase/pin, or have access to a secondary system that is used to reset it.","Create an account and attempt to change the password/passphrase/pin associated with it. Make note of whether or not users are required to enter old credentials  or look toward their email/phone/etc. to reset them."
security,"Authentication","Data Security","2: Yellow","A product that has an authentication system resists attempts to break it","The product notifies users when account security settings have changed.","Create an account and attempt to change various security settings  such as MFA or password  and make note of whether or not the user is notified."
security,"Authentication","Data Security","2: Yellow","A product that has an authentication system resists attempts to break it","If the product has an authentication system, it also has a system to prevent brute-force/dictionary attacks","Try to login to product using various incorrect credentials and note whether you have limited attempts to do so  or if it would take far too long to test every combination of allowed or common characters/strings/phrases."
security,"Encryption","Data Security","2: Yellow","Information I provide is encrypted so that it can't be easily read or used by attackers.","Transmission of user communications or information is encrypted by default.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
security,"Encryption","Data Security","2: Yellow","Information I provide is encrypted so that it can't be easily read or used by attackers.","Transmission of user communications or information is encrypted using unique keys.","Inspect traffic to determine if SSL encryption is used."
security,"Encryption","Data Security","2: Yellow","Information I provide is encrypted so that it can't be easily read or used by attackers.","Users can secure their content using end-to-end encryption.","Inspect traffic to determine if SSL encryption is used."
security,"Encryption","Data Security","2: Yellow","Information I provide is encrypted so that it can't be easily read or used by attackers.","End-to-end encryption is enabled by default.","Inspect traffic to determine if SSL encryption is used."
security,"Encryption","Data Security","2: Yellow","Information I provide is encrypted so that it can't be easily read or used by attackers.","User information and communications are encrypted by default when at rest.","Inspect traffic to determine if SSL encryption is used."
security,"Known Exploit Resistance","Data Security","2: Yellow","The product is protected from known software vulnerabilities that present a danger from attackers.","The software is secure against known bugs and types of attacks.","Browsers:Identify publicly known vulnerabilities for each browser.Use the original proof of concept code (if known) or devise custom code where necessary  to test the browser for the issue identified in the vulnerability notice.Check if the browser is now protected from the identified vulnerabilities.Apps:Root/jailbreak the device  configure web proxy and network traffic monitor.Launch target app  create accounts  sign-in  launch any activities available from user interface.Monitor communication between the application on the device and any backend services.Examine file system  database  and logs on the mobile device to determine if sensitive information is stored in a way that could lead to compromise of user data.Connected Devices:Check if using latest version of software.Configure web proxy and network traffic monitor.Create account and sign-in to the installed  out of the box  applications.Launch any activities available from the user interface.Monitor communication between the applications on the device  the device itself  and any backend services.Examine file system  database  and logs to determine if sensitive information is stored in a way that could lead to compromise of user data. "
security,"Security Oversight","Data Security","1: Green","The company is a responsible caretaker of my data.","The company has systems in place to limit and monitor employee access to user information.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
security,"Security Oversight","Data Security","1: Green","The company is a responsible caretaker of my data.","The company has an internal security team that conducts security audits on the company's products and services.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
security,"Security Oversight","Data Security","1: Green","The company is a responsible caretaker of my data.","The company commissions third-party security audits on its products and services. The company ensures that third-parties who process data on behalf of the company implement the required technical and organizational measures to protect user data.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
security,"Security Over Time","Data Security","2: Yellow","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","The product life cycle is communicated to the potential owner before purchase.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
security,"Security Over Time","Data Security","2: Yellow","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Software updates are authenticated.","TBD"
security,"Security Over Time","Data Security","2: Yellow","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Automatic software updates","Examine software settings and product documentation to determine if automatic software updates are enabled by default or can be enabled by the user."
security,"Security Over Time","Data Security","2: Yellow","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Notification of software updates","If updates are not automatic  examine software settings and product documentation to determine if the product notifies the user if a software update is available  and if that notification is persistent  or if the user can easily determine if a software update is available."
security,"Security Over Time","Data Security","2: Yellow","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Ease of installation of software updates","Execute the procedure to install a software update and evaluate the ease of installation by comparing against established references."
security,"Security Over Time","Data Security","2: Yellow","The product is kept protected with software updates for a clearly defined and communicated period of time (i.e., the product life cycle).","Software can be kept up-to-date for security issues.","Check if a later version of software exists but the product cannot be updated to it (e.g. Android devices with pre-KitKat versions)."
security,"Vulnerability Disclosure Program","Data Security","1: Green","The company is willing and able to address reports of vulnerabilities.","The company has a mechanism (ex: a bug bounty program) through which security researchers can submit vulnerabilities they discover. The company discloses the timeframe in which it will review reports of vulnerabilities. The company commits not to pursue legal action against security researchers.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
security,"Personal Safety","User Safety","3: Red","The company helps me protect myself from grief, abuse, and harassment.","TBD","TBD"
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","The definition of 'user information' includes information collected from third-parties.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","Users can control the collection of their information.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","Users can control how their information is used to target advertising.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","Clear explanation of how users can control whether their information is used for targeted advertising.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","Users can obtain a copy of their information.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","Disclosure of what user information users can obtain","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","Users can obtain their information in a structured data format.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","Users can obtain all public-facing and private user information the company hold about them.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Control","Access and Control","1: Green","I can see and control everything the company knows about me.","Privacy controls exist and are effective.","Look in the product's user interface to see what privacy controls exist and what the options are. If relevant  analyze network traffic to see if they are effective."
privacy,"Data Sharing","Data Use and Sharing","1: Green","Data sharing is reasonably scoped and transparent.","The company only shares information with third parties as is reasonably necessary to deliver service to consumers.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Sharing","Data Use and Sharing","1: Green","Data sharing is reasonably scoped and transparent.","The company clearly discloses what user information it shares with whom.","Analyze network traffic to see what third party domains are contacted by the product."
privacy,"Data Sharing","Data Use and Sharing","1: Green","Data sharing is reasonably scoped and transparent.","The company clearly discloses the types of third parties with which it shares user information.","Analyze network traffic to see what third party domains are contacted by the product."
privacy,"Data Sharing","Data Use and Sharing","1: Green","Data sharing is reasonably scoped and transparent.","The company clearly discloses the names of third parties with which it shares user information.","Analyze network traffic to see what third party domains are contacted by the product."
privacy,"Data Sharing","Data Use and Sharing","1: Green","Data sharing is reasonably scoped and transparent.","The company clearly discloses whether it shares user information with government or legal authorities.","Analyze network traffic to see what third party domains are contacted by the product."
privacy,"Data Sharing","Data Use and Sharing","1: Green","Data sharing is reasonably scoped and transparent.","Third party domains contacted by the product are named in the privacy policy.","Analyze network traffic to see what third party domains are contacted by the product."
privacy,"Data Use","Data Use and Sharing","1: Green","Data usage is consistent with the context of the relationship with the user and is transparent.","The company puts limits on the use of my data that are consistent with the purpose for which the data is collected.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data Use","Data Use and Sharing","1: Green","Data usage is consistent with the context of the relationship with the user and is transparent.","The company explicitly discloses every way in which it uses my data.","Interact with the service to evaluate how personal information is being used."
privacy,"Data retention and deletion","Data retention","1: Green","The company retains data only as long as relevant and reasonably necessary to provide service to me.","The company on its own deletes outdated and unnecessary personal information, or renders that data to be reasonably deidentified.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data retention and deletion","Data retention","1: Green","The company retains data only as long as relevant and reasonably necessary to provide service to me.","The company provides specific retention periods for different types of information that are reasonably scoped to get rid of outdated and unnecessary personal information.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data retention and deletion","Data retention","1: Green","I can delete the data the company has about me that is not needed to provide the service.","The company offers easy-to-find and -use controls that allow users to delete data not necessary to render service.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses.Investigation of deletion tools offered by the company."
privacy,"Data retention and deletion","Data retention","1: Green","My account and information are deleted when I leave the service.","All user information is deleted when the user's service is terminated, or the service no longer operates","Investigation and analysis of publicly available documentation to determine what the company clearly discloses.Terminate a test account  remove service from a device  or perform a factory reset on the device."
privacy,"Data benefits","Overreach - Collecting Too Much Data","3: Red","Every piece of data I share brings me a benefit; it doesn't just help the company.","The company clearly discloses its purpose for collecting each type of user information.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses.Compare app documentation  app features  requested permissions  and observed network data to see if they align."
privacy,"Data collection","Overreach - Collecting Too Much Data","1: Green","I know what user information this company is collecting and when.","Disclosure of the type of user information collected","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data collection","Overreach - Collecting Too Much Data","1: Green","I know what user information this company is collecting and when.","Disclosure of how user information is collected","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Data collection","Overreach - Collecting Too Much Data","1: Green","I know what user information this company is collecting and when.",null,"Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Minimal data collection","Overreach - Collecting Too Much Data","1: Green","The only information the company collects about me is what's needed to make the product or service work correctly.","The user information collected is only that which is directly relevant and necessary for the service.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Minimal data collection","Overreach - Collecting Too Much Data","1: Green","The only information the company collects about me is what's needed to make the product or service work correctly.","Product still works when all permissions not relevant to product's functionality are declined.","Decline permissions not relevant to the product's functionality  verify that product is still functional"
privacy,"Privacy by default","Overreach - Collecting Too Much Data","2: Yellow","The default settings in this product prioritize my privacy; to give up privacy, I actually need to change the settings.","Targeted advertising is off by default.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
privacy,"Privacy by default","Overreach - Collecting Too Much Data","2: Yellow","The default settings in this product prioritize my privacy; to give up privacy, I actually need to change the settings.","User interface settings which are optimal for privacy are set by default.","Review settings available from the user interface  and determine which options would be optimal for privacy considerations.Determine whether those options are selected by default."
ownership,"Interoperability","Ownership","3: Red","The company does not prohibit use of the product with other, complementary, products.","The manufacturer does not use software, copyright, or other devices to restrict the use of products and services that would otherwise be possible to use with your existing products (e.g., set-top boxes, third party applications, etc.).","TBD"
ownership,"Ownership","Ownership","3: Red","When I buy a product, I own every part of it.","The company does not retain any control or ownership over the operation, use, inputs, or outputs of the product after it has been purchased by the consumer.","TBD"
ownership,"Resale","Ownership","3: Red","I can resell the product to someone and it will still work.","If a consumer sells the product on the private market, the new owner has access to the full functionality of the original product.? Or does the company restrict the transfer of ownership","TBD"
ownership,"Resale","Ownership","3: Red","I can resell the product to someone and it will still work.","The company does not restrict the transfer of ownership.","TBD"
ownership,"Functionality Over Time","Permanence","3: Red","The company commits to maintain the intended functionality of the product for a clearly defined and communicated period of time (i.e., the product life cycle).","The product life cycle is communicated to the potential owner before purchase.","TBD"
ownership,"Functionality Over Time","Permanence","3: Red","The company commits to maintain the intended functionality of the product for a clearly defined and communicated period of time (i.e., the product life cycle).","Every feature of the product will continue to work the stated product life cycle; that is, the manufacturer will not 'brick' certain parts of the product during that time frame.","TBD"
ownership,"Functionality Over Time","Permanence","3: Red","The company commits to maintain the intended functionality of the product for a clearly defined and communicated period of time (i.e., the product life cycle).","The manufacturer will not cease to support the functionality I come to expect during the product life cycle.","TBD"
ownership,"Functionality Over Time","Permanence","3: Red","The company commits to maintain the intended functionality of the product for a clearly defined and communicated period of time (i.e., the product life cycle).","Replacement services will exist if the manufacturer ceases to support the functionality during the product life cycle.","TBD"
ownership,"Functionality Over Time","Permanence","3: Red","The company commits to maintain the intended functionality of the product for a clearly defined and communicated period of time (i.e., the product life cycle).","The company commits that, in the event the company is sold or acquired, the new owner will maintain the intended functionality for the full product life cycle.","TBD"
ownership,"Process for terms of service enforcement","Permanence","1: Green","I know how, when, and why the company or organization unilaterally closes user account sand/or restricts access to services.","The company or organization clearly explains what types of activities it does not permit.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Process for terms of service enforcement","Permanence","1: Green","I know how, when, and why the company or organization unilaterally closes user account sand/or restricts access to services.","The company or organization clearly explains why it may restrict a user’s account.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Process for terms of service enforcement","Permanence","1: Green","I know how, when, and why the company or organization unilaterally closes user account sand/or restricts access to services.","The company or organization clearly discloses the mechanisms it uses to identify accounts that violate the rules.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Process for terms of service enforcement","Permanence","1: Green","I know how, when, and why the company or organization unilaterally closes user account sand/or restricts access to services.","The company or organization clearly discloses whether any non-government and non-judicial entities receive priority consideration when identifying accounts to be restricted for violating the company’s rules, and if so, how that priority status is conferred.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Process for terms of service enforcement","Permanence","1: Green","I know how, when, and why the company or organization unilaterally closes user account sand/or restricts access to services.","The company or organization clearly explains its process for enforcing its rules.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Process for terms of service enforcement","Permanence","1: Green","I know how, when, and why the company or organization unilaterally closes user account sand/or restricts access to services.","The company or organization provides clear examples to help the user understand what the rules are and how they are enforced.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Transparency about Terms of Service enforcement","Permanence","2: Yellow","I know how often the company or organization unilaterally closes user accounts","The company or organization publishes data about the number of accounts it restricts or closes on its own initiative.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Transparency about Terms of Service enforcement","Permanence","2: Yellow","I know how often the company or organization unilaterally closes user accounts","The company or organization publishes data about the number of accounts it restricts or closes as a result of a government request.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Transparency about Terms of Service enforcement","Permanence","2: Yellow","I know how often the company or organization unilaterally closes user accounts","The company or organization publishes data about the number of accounts it restricts or closes as a result of a request from private third-parties.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
ownership,"Transparency about Terms of Service enforcement","Permanence","2: Yellow","I know how often the company or organization unilaterally closes user accounts","The company or organization clearly discloses that it notifies users when it restricts or closes user accounts.","Investigation and analysis of publicly available documentation to determine what the company clearly discloses."
